Time (UTC),Flight Number,Call Sign,Aircraft Type,Communication Type,Communication Content,Altitude (ft),Speed (knots),Heading (degrees),"Position (Latitude°, Longitude°)",Weather Update,NOTAMs,Navigational Information,Flight Manual Reference,Summary
12:22:30,ABY104,ABY104,Boeing 777,Pilot Acknowledgment,"Switching to 125.5, ABY104.",41000,484,300,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
12:23:00,ETD196,ETD196,Boeing 737 MAX,NOTAM Alert,Navigation aid VOR DUB out of service.,20000,242,72,"25.3286° N, 55.5171° E",,Navigation aid VOR DUB out of service.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
12:23:30,ETD195,ETD195,Airbus A320,Weather Update,Moderate turbulence reported at FL150.,15000,144,232,"24.9180° N, 55.0728° E",Moderate turbulence reported at FL150.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
12:24:00,FDB193,FDB193,Boeing 787,Weather Update,Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,10000,18,277,"25.2532° N, 55.3657° E",Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
12:24:30,UAE191,UAE191,Boeing 777,ATC Instruction,Maintain present speed.,10000,391,95,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
12:25:00,UAE160,UAE160,Boeing 787,Pilot Report,"Passing FL300, climbing to FL380.",30000,330,83,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
12:25:30,ETD136,ETD136,Airbus A320,Pilot Acknowledgment,"Cleared for takeoff runway 30R, ETD136.",38000,201,287,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
12:26:00,FDB161,FDB161,Boeing 777,ATC Instruction,Proceed direct to waypoint DESDI.,38000,59,76,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
12:26:30,ETD188,ETD188,Boeing 787,NOTAM Alert,Runway 12R/30L closed from 2200Z to 0400Z.,35000,408,72,"26.0765° N, 56.2406° E",,Runway 12R/30L closed from 2200Z to 0400Z.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
12:27:00,FDB157,FDB157,Airbus A320,Pilot Acknowledgment,"Proceeding direct to DESDI, FDB157.",25000,124,34,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
12:27:30,ETD112,ETD112,Boeing 777,Pilot Report,"Passing FL410, climbing to FL380.",41000,229,178,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
12:28:00,FDB190,FDB190,Airbus A320,Pilot Report,"Passing FL350, climbing to FL380.",35000,15,66,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
12:28:30,FDB155,FDB155,Airbus A380,Pilot Acknowledgment,"Left heading 75, FDB155.",0,489,75,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
12:29:00,UAE115,UAE115,Boeing 787,Pilot Acknowledgment,"Descend to 35000 feet, expect ILS 09L, UAE115.",35000,120,257,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
12:29:30,ETD187,ETD187,Boeing 737 MAX,Pilot Report,"Passing FL350, climbing to FL380.",35000,500,218,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
12:30:00,ABY136,ABY136,Boeing 777,NOTAM Alert,GPS interference reported near waypoint ORSAR.,30000,426,317,"25.2532° N, 55.3657° E",,GPS interference reported near waypoint ORSAR.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
12:30:30,ABY130,ABY130,Airbus A320,Weather Update,Moderate turbulence reported at FL380.,38000,222,349,"24.9180° N, 55.0728° E",Moderate turbulence reported at FL380.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
12:31:00,ABY158,ABY158,Boeing 737 MAX,Pilot Acknowledgment,"Descend to 3000 feet, expect ILS 09L, ABY158.",3000,330,264,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
12:31:30,UAE120,UAE120,Boeing 737 MAX,Pilot Report,Experiencing moderate turbulence at FL350.,35000,464,71,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
12:32:00,UAE127,UAE127,Boeing 787,Pilot Acknowledgment,"Proceeding direct to DESDI, UAE127.",30000,287,212,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
12:32:30,FDB150,FDB150,Airbus A380,ATC Instruction,Contact departure on 125.5.,3000,489,123,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
12:33:00,UAE145,UAE145,Boeing 737 MAX,ATC Instruction,Cleared for takeoff runway 30R.,41000,430,307,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
12:33:30,FDB122,FDB122,Boeing 777,Pilot Acknowledgment,"Maintaining present speed, FDB122.",10000,129,119,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
12:34:00,UAE183,UAE183,Airbus A380,ATC Instruction,Cleared for takeoff runway 30R.,25000,361,339,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
12:34:30,UAE187,UAE187,Airbus A380,NOTAM Alert,Navigation aid VOR DUB out of service.,38000,314,280,"25.3286° N, 55.5171° E",,Navigation aid VOR DUB out of service.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
12:35:00,FDB108,FDB108,Boeing 737 MAX,ATC Instruction,Contact departure on 125.5.,5000,159,330,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
12:35:30,FDB178,FDB178,Airbus A320,ATC Instruction,"Descend and maintain 5000 feet, expect ILS approach runway 09L.",5000,444,213,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
12:36:00,FDB103,FDB103,Boeing 787,NOTAM Alert,Runway 12R/30L closed from 2200Z to 0400Z.,15000,458,26,"24.4560° N, 54.6374° E",,Runway 12R/30L closed from 2200Z to 0400Z.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
12:36:30,ETD176,ETD176,Boeing 777,ATC Instruction,Contact departure on 125.5.,41000,261,9,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
12:37:00,ETD116,ETD116,Boeing 777,Pilot Acknowledgment,"Holding at PASOV, ETD116.",20000,454,201,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
12:37:30,ABY154,ABY154,Boeing 737 MAX,NOTAM Alert,GPS interference reported near waypoint ORSAR.,38000,431,99,"25.2532° N, 55.3657° E",,GPS interference reported near waypoint ORSAR.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
12:38:00,ABY122,ABY122,Airbus A320,ATC Instruction,"Descend and maintain 3000 feet, expect ILS approach runway 09L.",3000,12,247,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
12:38:30,ABY135,ABY135,Boeing 737 MAX,ATC Instruction,Expect holding at waypoint PASOV.,41000,112,126,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
12:39:00,ABY117,ABY117,Boeing 777,Pilot Report,"Passing FL200, climbing to FL380.",20000,236,331,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
12:39:30,UAE175,UAE175,Airbus A320,Pilot Acknowledgment,"Descend to 25000 feet, expect ILS 09L, UAE175.",25000,23,13,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
12:40:00,FDB130,FDB130,Boeing 787,Pilot Acknowledgment,"Proceeding direct to DESDI, FDB130.",30000,202,161,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
12:40:30,FDB199,FDB199,Boeing 787,Pilot Report,"Passing FL350, climbing to FL380.",35000,268,54,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
12:41:00,ETD113,ETD113,Boeing 737 MAX,Weather Update,Thunderstorms reported along your route near waypoint PASOV.,41000,233,280,"24.9180° N, 55.0728° E",Thunderstorms reported along your route near waypoint PASOV.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
12:41:30,FDB108,FDB108,Airbus A320,Weather Update,Wind shear reported on final approach runway 30L.,20000,114,340,"26.0765° N, 56.2406° E",Wind shear reported on final approach runway 30L.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
12:42:00,UAE163,UAE163,Boeing 787,Pilot Acknowledgment,"Descend to 15000 feet, expect ILS 09L, UAE163.",15000,206,113,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
12:42:30,UAE197,UAE197,Boeing 737 MAX,Weather Update,Moderate turbulence reported at FL150.,15000,130,32,"26.0765° N, 56.2406° E",Moderate turbulence reported at FL150.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
12:43:00,ABY165,ABY165,Boeing 737 MAX,NOTAM Alert,Navigation aid VOR DUB out of service.,35000,377,48,"24.9180° N, 55.0728° E",,Navigation aid VOR DUB out of service.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
12:43:30,UAE148,UAE148,Airbus A380,Weather Update,Wind shear reported on final approach runway 30L.,5000,243,92,"26.0765° N, 56.2406° E",Wind shear reported on final approach runway 30L.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
12:44:00,ABY114,ABY114,Boeing 777,ATC Instruction,"Descend and maintain 15000 feet, expect ILS approach runway 09L.",15000,116,300,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
12:44:30,ABY129,ABY129,Boeing 737 MAX,NOTAM Alert,Temporary flight restriction active over area OM999.,25000,385,107,"24.4560° N, 54.6374° E",,Temporary flight restriction active over area OM999.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
12:45:00,UAE144,UAE144,Boeing 737 MAX,Weather Update,Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,35000,489,283,"26.0765° N, 56.2406° E",Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
12:45:30,ABY106,ABY106,Boeing 787,NOTAM Alert,Runway 12R/30L closed from 2200Z to 0400Z.,20000,323,337,"26.0765° N, 56.2406° E",,Runway 12R/30L closed from 2200Z to 0400Z.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
12:46:00,UAE105,UAE105,Boeing 787,Weather Update,Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,0,163,297,"25.2532° N, 55.3657° E",Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
12:46:30,FDB102,FDB102,Boeing 777,Weather Update,Thunderstorms reported along your route near waypoint PASOV.,15000,89,177,"24.4560° N, 54.6374° E",Thunderstorms reported along your route near waypoint PASOV.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
12:47:00,ABY179,ABY179,Airbus A320,Weather Update,Thunderstorms reported along your route near waypoint PASOV.,30000,389,187,"26.0765° N, 56.2406° E",Thunderstorms reported along your route near waypoint PASOV.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
12:47:30,UAE159,UAE159,Boeing 737 MAX,ATC Instruction,Proceed direct to waypoint DESDI.,25000,72,85,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
12:48:00,UAE193,UAE193,Airbus A320,Pilot Report,Engine 2 showing abnormal vibrations.,35000,234,137,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
12:48:30,ABY136,ABY136,Airbus A320,NOTAM Alert,Navigation aid VOR DUB out of service.,5000,346,104,"24.9180° N, 55.0728° E",,Navigation aid VOR DUB out of service.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
12:49:00,ABY198,ABY198,Airbus A380,Pilot Acknowledgment,"Proceeding direct to DESDI, ABY198.",35000,452,93,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
12:49:30,ABY167,ABY167,Boeing 787,Pilot Report,"Cleared turbulence, resuming normal speed.",3000,121,34,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
12:50:00,ABY162,ABY162,Airbus A380,ATC Instruction,Maintain present speed.,0,209,153,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
12:50:30,UAE106,UAE106,Airbus A380,NOTAM Alert,Airspace restriction due to military activity in Al Dhafra region.,35000,277,132,"26.0765° N, 56.2406° E",,Airspace restriction due to military activity in Al Dhafra region.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
12:51:00,UAE127,UAE127,Boeing 777,ATC Instruction,Proceed direct to waypoint DESDI.,35000,343,293,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
12:51:30,UAE138,UAE138,Boeing 777,Weather Update,Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,3000,9,332,"25.3286° N, 55.5171° E",Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
12:52:00,ABY125,ABY125,Boeing 737 MAX,Pilot Report,"Runway vacated, taxiing to gate.",10000,60,108,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
12:52:30,ABY157,ABY157,Boeing 737 MAX,ATC Instruction,Expect holding at waypoint PASOV.,41000,121,181,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
12:53:00,FDB128,FDB128,Boeing 737 MAX,Pilot Acknowledgment,"Left heading 259, FDB128.",41000,451,259,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
12:53:30,FDB193,FDB193,Airbus A320,Pilot Report,Requesting vectors for weather avoidance.,15000,473,129,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
12:54:00,ABY181,ABY181,Airbus A320,NOTAM Alert,Temporary flight restriction active over area OM999.,3000,282,173,"24.9180° N, 55.0728° E",,Temporary flight restriction active over area OM999.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
12:54:30,UAE169,UAE169,Boeing 777,Pilot Acknowledgment,"Switching to 125.5, UAE169.",25000,404,224,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
12:55:00,ABY102,ABY102,Boeing 787,Weather Update,Visibility reduced to 2 kilometers due to sandstorm at destination.,3000,116,294,"25.2532° N, 55.3657° E",Visibility reduced to 2 kilometers due to sandstorm at destination.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
12:55:30,ETD184,ETD184,Airbus A380,Pilot Acknowledgment,"Climb and maintain 25000 feet, ETD184.",25000,17,123,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
12:56:00,FDB157,FDB157,Airbus A380,Weather Update,Wind shear reported on final approach runway 30L.,30000,87,321,"25.2532° N, 55.3657° E",Wind shear reported on final approach runway 30L.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
12:56:30,ABY138,ABY138,Boeing 737 MAX,Pilot Acknowledgment,"Switching to 125.5, ABY138.",38000,99,323,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
12:57:00,ABY129,ABY129,Airbus A380,Pilot Acknowledgment,"Switching to 125.5, ABY129.",35000,500,290,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
12:57:30,FDB188,FDB188,Airbus A320,Pilot Report,"Passing FL300, climbing to FL380.",30000,119,102,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
12:58:00,FDB160,FDB160,Airbus A380,Pilot Report,Experiencing moderate turbulence at FL100.,10000,205,32,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
12:58:30,ETD145,ETD145,Airbus A320,Weather Update,Wind shear reported on final approach runway 30L.,3000,404,341,"24.9180° N, 55.0728° E",Wind shear reported on final approach runway 30L.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
12:59:00,UAE196,UAE196,Boeing 787,NOTAM Alert,Navigation aid VOR DUB out of service.,41000,219,259,"26.0765° N, 56.2406° E",,Navigation aid VOR DUB out of service.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
12:59:30,ABY155,ABY155,Airbus A320,Pilot Report,"Runway vacated, taxiing to gate.",15000,84,233,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
13:00:00,UAE195,UAE195,Airbus A380,ATC Instruction,Climb and maintain 20000 feet.,20000,379,273,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
13:00:30,ABY159,ABY159,Boeing 777,Weather Update,Visibility reduced to 2 kilometers due to sandstorm at destination.,38000,25,172,"24.9180° N, 55.0728° E",Visibility reduced to 2 kilometers due to sandstorm at destination.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
13:01:00,UAE149,UAE149,Boeing 737 MAX,Weather Update,Visibility reduced to 2 kilometers due to sandstorm at destination.,5000,209,25,"25.2532° N, 55.3657° E",Visibility reduced to 2 kilometers due to sandstorm at destination.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
13:01:30,ABY120,ABY120,Boeing 777,ATC Instruction,Maintain present speed.,30000,3,307,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
13:02:00,FDB183,FDB183,Boeing 737 MAX,Weather Update,Wind shear reported on final approach runway 30L.,5000,66,359,"25.3286° N, 55.5171° E",Wind shear reported on final approach runway 30L.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
13:02:30,UAE157,UAE157,Boeing 777,Weather Update,Moderate turbulence reported at FL100.,10000,200,188,"24.9180° N, 55.0728° E",Moderate turbulence reported at FL100.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
13:03:00,ETD112,ETD112,Boeing 777,Weather Update,Moderate turbulence reported at FL410.,41000,255,281,"24.9180° N, 55.0728° E",Moderate turbulence reported at FL410.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
13:03:30,ABY190,ABY190,Boeing 787,Pilot Report,"Cleared turbulence, resuming normal speed.",5000,132,53,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
13:04:00,ABY187,ABY187,Boeing 777,Weather Update,Moderate turbulence reported at FL50.,5000,147,319,"24.4560° N, 54.6374° E",Moderate turbulence reported at FL50.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
13:04:30,ETD177,ETD177,Airbus A380,ATC Instruction,Climb and maintain 35000 feet.,35000,57,315,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
13:05:00,ABY164,ABY164,Boeing 787,Pilot Acknowledgment,"Maintaining present speed, ABY164.",25000,219,188,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
13:05:30,UAE116,UAE116,Boeing 777,Weather Update,Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,38000,445,282,"26.0765° N, 56.2406° E",Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
13:06:00,ABY186,ABY186,Airbus A380,ATC Instruction,Proceed direct to waypoint DESDI.,15000,285,0,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
13:06:30,ETD136,ETD136,Boeing 787,Weather Update,Visibility reduced to 2 kilometers due to sandstorm at destination.,3000,392,265,"25.2532° N, 55.3657° E",Visibility reduced to 2 kilometers due to sandstorm at destination.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
13:07:00,UAE101,UAE101,Boeing 787,Weather Update,Moderate turbulence reported at FL150.,15000,200,134,"25.3286° N, 55.5171° E",Moderate turbulence reported at FL150.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
13:07:30,UAE136,UAE136,Boeing 787,ATC Instruction,Contact departure on 125.5.,10000,307,195,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
13:08:00,ETD137,ETD137,Airbus A320,Weather Update,Thunderstorms reported along your route near waypoint PASOV.,38000,271,332,"25.2532° N, 55.3657° E",Thunderstorms reported along your route near waypoint PASOV.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
13:08:30,UAE172,UAE172,Boeing 737 MAX,ATC Instruction,Proceed direct to waypoint DESDI.,3000,355,108,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
13:09:00,ETD188,ETD188,Airbus A380,Weather Update,Visibility reduced to 2 kilometers due to sandstorm at destination.,10000,39,262,"25.3286° N, 55.5171° E",Visibility reduced to 2 kilometers due to sandstorm at destination.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
13:09:30,FDB113,FDB113,Boeing 777,NOTAM Alert,Airspace restriction due to military activity in Al Dhafra region.,15000,58,88,"24.4560° N, 54.6374° E",,Airspace restriction due to military activity in Al Dhafra region.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
13:10:00,UAE133,UAE133,Boeing 787,Pilot Acknowledgment,"Left heading 135, UAE133.",38000,172,135,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
13:10:30,ABY137,ABY137,Airbus A380,Pilot Acknowledgment,"Switching to 125.5, ABY137.",25000,195,286,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
13:11:00,ETD146,ETD146,Airbus A320,Weather Update,Thunderstorms reported along your route near waypoint PASOV.,20000,7,358,"24.9180° N, 55.0728° E",Thunderstorms reported along your route near waypoint PASOV.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
13:11:30,ETD173,ETD173,Boeing 737 MAX,Weather Update,Wind shear reported on final approach runway 30L.,20000,144,185,"25.2532° N, 55.3657° E",Wind shear reported on final approach runway 30L.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
13:12:00,ABY153,ABY153,Boeing 777,NOTAM Alert,Airspace restriction due to military activity in Al Dhafra region.,0,455,92,"26.0765° N, 56.2406° E",,Airspace restriction due to military activity in Al Dhafra region.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
13:12:30,ETD144,ETD144,Boeing 787,ATC Instruction,Expect holding at waypoint PASOV.,15000,276,0,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
13:13:00,ETD178,ETD178,Airbus A320,ATC Instruction,Climb and maintain 3000 feet.,3000,32,135,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
13:13:30,ABY104,ABY104,Boeing 787,ATC Instruction,Expect holding at waypoint PASOV.,25000,451,289,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
13:14:00,UAE139,UAE139,Boeing 787,NOTAM Alert,GPS interference reported near waypoint ORSAR.,5000,82,138,"25.2532° N, 55.3657° E",,GPS interference reported near waypoint ORSAR.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
13:14:30,ABY184,ABY184,Boeing 777,Weather Update,Visibility reduced to 2 kilometers due to sandstorm at destination.,30000,416,252,"26.0765° N, 56.2406° E",Visibility reduced to 2 kilometers due to sandstorm at destination.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
13:15:00,ETD164,ETD164,Boeing 737 MAX,NOTAM Alert,Navigation aid VOR DUB out of service.,41000,67,8,"26.0765° N, 56.2406° E",,Navigation aid VOR DUB out of service.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
13:15:30,UAE138,UAE138,Airbus A320,NOTAM Alert,Temporary flight restriction active over area OM999.,38000,233,269,"24.9180° N, 55.0728° E",,Temporary flight restriction active over area OM999.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
13:16:00,ABY192,ABY192,Airbus A320,ATC Instruction,Proceed direct to waypoint DESDI.,38000,372,77,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
13:16:30,UAE113,UAE113,Boeing 737 MAX,NOTAM Alert,Runway 12R/30L closed from 2200Z to 0400Z.,3000,466,351,"24.4560° N, 54.6374° E",,Runway 12R/30L closed from 2200Z to 0400Z.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
13:17:00,FDB157,FDB157,Boeing 777,Pilot Acknowledgment,"Switching to 125.5, FDB157.",30000,37,16,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
13:17:30,UAE109,UAE109,Boeing 777,Pilot Acknowledgment,"Climb and maintain 3000 feet, UAE109.",3000,345,255,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
